"Nom comú","Espècie"
"Gavot","Alca torda"
"Ànec collverd","Anas platyrhynchos"
"Falciot negre","Apus apus"
"Bernat pescaire","Ardea cinerea"
"Agró roig","Ardea purpurea"
"Ardeid","Ardea sp."
"Esplugabous","Bubulcus ibis"
"Baldriga cendrosa","Calonectris diomedea"
"Fumarell negre","Chlidonias niger"
"Martinet blanc","Egretta garzetta"
"Falcó peregrí","Falco peregrinus"
"Xorigué","Falco tinnunculus"
"Fraret","Fratercula arctica"
"Busqueta vulgar","Hippolais polyglotta"
"Oreneta vulgar","Hirundo rustica"
"Ocell de tempesta","Hydrobates pelagicus"
"Gavina menuda","Hydrocoleus minutus"
"Gavina capnegra","Ichthyaetus melanocephalus"
"Gavina corsa","Larus audouinii"
"Gavià argentat","Larus michahellis"
"Gavina vulgar/riallera","Larus ridibundus"
"Mascarell","Morus bassanus"
"Corb marí emplomallat","Phalacrocorax aristotelis"
"Corb marí gros","Phalacrocorax carbo"
"Corb marí sp.","Phalacrocorax sp."
"Cotxa fumada","Phoenicurus ochruros"
"Capó reial","Plegadis falcinellus"
"Baldriga balear","Puffinus mauretanicus"
"Baldriga sp.","Puffinus sp."
"Baldriga mediterrània","Puffinus yelkouan"
"Paràsit cuaampla","Stercorarius pomarinus"
"Paràsit gros","Stercorarius skua"
"Xatrac comú","Sterna hirundo"
"Xatrac becllarg","Thalasseus sandvicensis"
"Xatrac sp.","Sterna sp."
"Paràsit","Stercorarius sp."
"Cuareta blanca","Motacilla alba"
"Tord comú","Turdus philomelos"
"Baldrigues sp.","Baldrigues sp"
"Estornell","Sturnus vulgaris"
"No identificat","No identificat"
"Gavineta de tres dits","Rissa tridactyla"
"Mosquiter","Phylloscopus sp."
"Colom sp","Columba sp."
"Mussol emigrant","Asio flammeus"
"Pit-roig","Erithacus rubecula"
"Ànec no identificat","Anàtida sp."
"Puput","Upupa epops"
"oreneta/falciot","oreneta/falciot"
"Fumarell carablanc","Chlidonias hybrida"
"Egretta garzetta","Martinet blanc"
"Gafarró","Serinus serinus"
"Paràsit cuapunxegut","Stercorarius parasiticus"
"Martinet de nit","Nycticorax nycticorax"
"Becplaner","Platalea leucorodia"
"Milà reial","Milvus milvus"
"Falciot","Apus sp."
"Mussol sp.","Mussol sp."
"Passeriforme","Passeriforme"
"Colom domèstic","Columba livia domestica"
"Mosquiter comú","Phylloscopus collybita"
"Falcó (indeterminat)","Falco sp"
"Arpella (indeterminada)","Circus sp"
"Arpella","Circus aeruginosus"
"Gavina cendrosa","Larus canus"
"Tallarol sp","Sylvia sp"
"Falcó mostatxut","Falco subbuteo"
"Oreneta cuablanca","Delichon urbicum"
"Agrò blanc","Ardea alba"
"Mastegatatxes","Ficedula hypoleuca"
"Xivita comuna","Tringa ochropus"
"Gavià sp","Larus sp"
"Blauet","Alcedo atthis"
"Cabusset comú","Tachybaptus ruficollis"
"Ànec cullerot","Anas clypeata"
"Bitxac comú","Saxicola rubicola"
"Cabussó emplomallat","Podiceps crisatus"
"Rapinyaire","Rapinyaire"
"Còlit gris","Oenanthe oenanthe"
"Oreneta sp","Oreneta sp"
"Cogullada sp","Galerida sp"
"Becut euroasiàtic","Numenius arquata"
"Pòlit cantaire","Numenius phaeopus"
"Alcid","Alcid"
"Gavià fosc","Larus fuscus"
"Flamenc","Phoenicopterus roseus"
"Cuereta groga","Motacilla flava"
