"id","scientific_name","common_name","image"
"1","Alca torda","Gavot","gavot.jpg"
"2","Anas platyrhynchos","�nec collverd","anec_collverd.jpg"
"3","Apus apus","Falciot negre","Falciot.jpg"
"4","Ardea cinerea","Bernat pescaire","bernat_pescaire.jpg"
"5","Ardea purpurea","Agr� roig","Ardea_purpurea.jpg"
"6","Ardea sp.","Ardeid","Ardeid.jpg"
"7","Bubulcus ibis","Esplugabous","Esplugabous.jpg"
"8","Calonectris diomedea","Baldriga cendrosa","Baldriga_cendrosa.jpg"
"9","Chlidonias niger","Fumarell negre","Fumarell_negre.jpg"
"10","Egretta garzetta","Martinet blanc","Martinet_blanc.jpg"
"11","Falco peregrinus","Falc� peregr�","Falco_peregri.jpg"
"12","Falco tinnunculus","Xorigu�","Xorigue.jpg"
"13","Fratercula arctica","Fraret","Fraret.jpg"
"14","Hippolais polyglotta","Busqueta vulgar","Busqueta_vulgar.jpg"
"15","Hirundo rustica","Oreneta vulgar","oreneta_vulgar.jpg"
"16","Hydrobates pelagicus","Ocell de tempesta","Ocell_tempesta.jpg"
"17","Hydrocoleus minutus","Gavina menuda","Gavina_menuda.jpg"
"18","Ichthyaetus melanocephalus","Gavina capnegra","Gavina_capnegra.jpg"
"19","Larus audouinii","Gavina corsa","Gavina_corsa.jpg"
"20","Larus michahellis","Gavi� argentat","Gavia_argentat.jpg"
"21","Larus ridibundus","Gavina vulgar/riallera","Gavina_vulgar_riallera.jpg"
"22","Morus bassanus","Mascarell","Mascarell.jpg"
"23","Phalacrocorax aristotelis","Corb mar� emplomallat","Corb_mari_emplomallat.jpg"
"24","Phalacrocorax carbo","Corb mar� gros","Corb_mari_gros.jpg"
"25","Phalacrocorax sp.","Corb mar� sp.","Corb_mari_sp.jpg"
"26","Phoenicurus ochruros","Cotxa fumada","Cotxa_fumada.JPG"
"27","Plegadis falcinellus","Cap� reial","Capo_reial.jpg"
"28","Puffinus mauretanicus","Baldriga balear","Baldriga_balear.JPG"
"29","Puffinus sp.","Baldriga sp.","Baldrigues_sp.jpg"
"30","Puffinus yelkouan","Baldriga mediterr�nia","Baldriga_mediterrania.jpg"
"31","Stercorarius pomarinus","Par�sit cuaampla","Parasit_cuaampla.jpg"
"32","Stercorarius skua","Par�sit gros","Parasit_gros.jpg"
"33","Sterna hirundo","Xatrac com�","Xatrac_comu.jpg"
"34","Thalasseus sandvicensis","Xatrac becllarg","Xatrac_becllarg.jpg"
"35","Sterna sp.","Xatrac sp.","Xatrac_sp.jpg"
"36","Stercorarius sp.","Par�sit","Parasit.jpg"
"37","Motacilla alba","Cuareta blanca","Cuareta_blanca.jpg"
"38","Turdus philomelos","Tord com�","Tord_comu.jpg"
"39","Baldrigues sp","Baldrigues sp.","Baldrigues_sp.jpg"
"40","Sturnus vulgaris","Estornell","Estornell.jpg"
"41","No identificat","No identificat",""
"42","Rissa tridactyla","Gavineta de tres dits","Gavineta_de_tres_dits.jpg"
"43","Phylloscopus sp.","Mosquiter","Mosquiter.jpg"
"44","Columba sp.","Colom sp","Colom_sp.jpg"
"45","Asio flammeus","Mussol emigrant","Mussol_emigrant.jpg"
"46","Erithacus rubecula","Pit-roig","Pit-roig.jpg"
"47","An�tida sp.","�nec no identificat","Anec_no_identificat.jpg"
"48","Upupa epops","Puput","Puput.jpg"
"49","oreneta/falciot","oreneta/falciot","oreneta_falciot.jpg"
"50","Chlidonias hybrida","Fumarell carablanc","Fumarell_carablanc.jpg"
"51","Egretta garzetta","Martinet blanc","Martinet_blanc.jpg"
"52","Serinus serinus","Gafarr�","Gafarro.jpg"
"53","Stercorarius parasiticus","Par�sit cuapunxegut","Parasit_cuapunxegut.jpg"
"54","Nycticorax nycticorax","Martinet de nit","Martinet_de_nit.jpg"
"55","Platalea leucorodia","Becplaner","becplaner.jpg"
"56","Milvus milvus","Mil� reial","Mila_reial.jpg"
"57","Apus sp.","Falciot","Falciot.jpg"
"58","Mussol sp.","Mussol sp.","Mussol_sp.jpg"
"59","Passeriforme","Passeriforme","Passeriforme.jpg"
"60","Columba livia domestica","Colom dom�stic","Colom_domestic.jpg"
"61","Phylloscopus collybita","Mosquiter com�","Mosquiter_comu.jpg"
"62","Falco sp","Falc� (indeterminat)","Falco_(indeterminat).jpg"
"63","Circus sp","Arpella (indeterminada)","Arpella_(indeterminada).jpg"
"64","Circus aeruginosus","Arpella","Arpella.jpg"
"65","Larus canus","Gavina cendrosa","Gavina_cendrosa.jpg"
"66","Sylvia sp","Tallarol sp","Tallarol_sp.jpg"
"67","Falco subbuteo","Falc� mostatxut","Falco_mostatxut.jpg"
"68","Delichon urbicum","Oreneta cuablanca",Oreneta_cuablanca.jpg""
"69","Ardea alba","Agr� blanc","Agro_blanc.jpg"
"70","Ficedula hypoleuca","Mastegatatxes","mastegatatxes.jpg"
"71","Tringa ochropus","Xivita comuna","Xivita_comuna.jpg"
